NCT Code,Trial Name,Trial URL,Priority,Status
NCT05254184,KRAS-Targeted Vaccine With Nivolumab and Ipilimumab for Patients With NSCLC,https://clinicaltrials.gov/study/NCT05254184,2. Multi-RAS + Colon,RECRUITING
NCT05438667,TCR-T Cell Therapy on Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT05438667,2. Multi-RAS + Colon,RECRUITING
NCT06253520,Autologous T-cells Genetically Engineered to Express Receptors Reactive Against KRAS Mutations in Conjunction With a Vaccine Directed Against These Antigens in Participants With Metastatic Cancer,https://clinicaltrials.gov/study/NCT06253520,2. Multi-RAS + Colon,RECRUITING
NCT06667544,A Study of RNK08954 in Subjects With Advanced Solid Tumors With KRAS ((Kirsten Rat Sarcoma) G12D Mutation,https://clinicaltrials.gov/study/NCT06667544,2. G12D + Basket trial,RECRUITING
NCT06947811,A Study of Almonertinib Combined With Palbociclib in Patients With Advanced Solid Tumors Harboring KRAS Mutations,https://clinicaltrials.gov/study/NCT06947811,2. Multi-RAS + Colon,RECRUITING
NCT06956261,NW-301 TCR-T in Patients With Advanced Solid Tumor,https://clinicaltrials.gov/study/NCT06956261,2. Multi-RAS + Colon,NOT_YET_RECRUITING
NCT06970132,Study of SY-5933 Plus CT-707 in Advanced Solid Tumors With KRAS p.G12C Mutation,https://clinicaltrials.gov/study/NCT06970132,2. Multi-RAS + Colon,NOT_YET_RECRUITING
NCT07207707,A Study to Investigate the Safety and Efficacy of KQB548 in Participants With Advanced Solid Malignancies,https://clinicaltrials.gov/study/NCT07207707,2. Multi-RAS + Colon,RECRUITING
NCT07240766,HRS-4642 in Combination With Nimotuzumab and Chemotherapy for BRPC With KRAS G12D Mutation,https://clinicaltrials.gov/study/NCT07240766,2. G12D + Basket trial,NOT_YET_RECRUITING
NCT07259590,A Study of GFH375 Combined With Cetuximab or Chemotherapy in Participants With Solid Tumors Harboring KRAS G12D Mutation,https://clinicaltrials.gov/study/NCT07259590,2. G12D + Basket trial,RECRUITING
NCT03745326,Administering Peripheral Blood Lymphocytes Transduced With a Murine T-Cell Receptor Recognizing the G12D Variant of Mutated RAS in HLA-A*11:01 Patients,https://clinicaltrials.gov/study/NCT03745326,2. G12D + Basket trial,RECRUITING
NCT05786924,Phase 1/2 Trial of S241656 in Selected RAS/MAPK Mutation- Positive Malignancies,https://clinicaltrials.gov/study/NCT05786924,2. Multi-RAS + Colon,RECRUITING
NCT06040541,Study of RMC-9805 in Participants With KRAS G12D-Mutant Solid Tumors,https://clinicaltrials.gov/study/NCT06040541,2. G12D + Basket trial,RECRUITING
NCT06218914,"Phase 1 Study to Investigate TCRTs KRAS Mutation in Unresectable, Advanced, and/or Metastatic Solid Tumors",https://clinicaltrials.gov/study/NCT06218914,2. G12D + Basket trial,RECRUITING
NCT06403735,A Phase I Clinical Study of QLC1101 in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT06403735,2. G12D + Basket trial,RECRUITING
NCT06445062,Study of RAS(ON) Inhibitors in Patients With Gastrointestinal Solid Tumors,https://clinicaltrials.gov/study/NCT06445062,2. Multi-RAS + Colon,RECRUITING
NCT06487377,IX001 TCR-T In the Treatment of Advanced Pancreatic Cancer and Colorectal Cancer Induced by KRAS Mutations,https://clinicaltrials.gov/study/NCT06487377,2. Multi-RAS + Colon,RECRUITING
NCT06586515,"MOONRAY-01, A Study of LY3962673 in Participants With KRAS G12D-Mutant Solid Tumors",https://clinicaltrials.gov/study/NCT06586515,2. G12D + Basket trial,RECRUITING
NCT06607185,A Study of the Pan-KRAS Inhibitor LY4066434 in Participants With KRAS Mutant Solid Tumors,https://clinicaltrials.gov/study/NCT06607185,2. Multi-RAS + Colon,RECRUITING
NCT06917079,BBO-11818 in Adult Subjects With KRAS Mutant Cancer,https://clinicaltrials.gov/study/NCT06917079,2. Multi-RAS + Colon,RECRUITING
NCT07014878,A Study of DCTY1102 Injection in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT07014878,2. Multi-RAS + Colon,NOT_YET_RECRUITING
NCT07020221,A Phase 1/2a Study of VS-7375 in Patients With KRAS G12D-Mutated Solid Tumors,https://clinicaltrials.gov/study/NCT07020221,2. G12D + Basket trial,RECRUITING
NCT07094204,A Study to Find a Suitable Dose of ASP5834 in Adults With Solid Tumors,https://clinicaltrials.gov/study/NCT07094204,2. Multi-RAS + Colon,RECRUITING
NCT02102789,A Study of Systemic Chemotherapy With/Without HAI in Patients With Initially Unresectable Colorectal Liver Metastasis,https://clinicaltrials.gov/study/NCT02102789,2. RAS + Colon,RECRUITING
NCT02579278,Circulating Tumour DNA (ctDNA) in Patients With Colorectal Cancer and the Relationship to Imaging Features of Extramural Venous Invasion,https://clinicaltrials.gov/study/NCT02579278,2. RAS + Colon,RECRUITING
NCT02885753,Systemic Oxaliplatin or Intra-arterial Chemotherapy Combined With LV5FU2 +/- Irinotecan and an Target Therapy in First Line Treatment of Metastatic Colorectal Cancer Restricted to the Liver,https://clinicaltrials.gov/study/NCT02885753,2. RAS + Colon,RECRUITING
NCT02986516,Sacral Chordoma: Surgery Versus Definitive Radiation Therapy in Primary Localized Disease,https://clinicaltrials.gov/study/NCT02986516,2. RAS + Colon,RECRUITING
NCT03127111,Genetic and Epigenetic Determinants of Response to Fluorouracil-based Adjuvant Chemotherapy in Patients With Stage III Colorectal Cancer,https://clinicaltrials.gov/study/NCT03127111,2. RAS + Colon,NOT_YET_RECRUITING
NCT03175224,APL-101 Study of Subjects With NSCLC With c-Met EXON 14 Skip Mutations and c-Met Dysregulation Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03175224,2. RAS + Colon,RECRUITING
NCT03190941,Administering Peripheral Blood Lymphocytes Transduced With a Murine T-Cell Receptor Recognizing the G12V Variant of Mutated RAS in HLA-A*11:01 Patients,https://clinicaltrials.gov/study/NCT03190941,2. RAS + Colon,RECRUITING
NCT03391934,Comparing Efficacy and Safety of Cetuximab (CinnaGen) Versus Erbitux® (Merck) in Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT03391934,2. RAS + Colon,RECRUITING
NCT03452774,SYNERGY-AI: Artificial Intelligence Based Precision Oncology Clinical Trial Matching and Registry,https://clinicaltrials.gov/study/NCT03452774,2. RAS + Colon,RECRUITING
NCT03526835,A Study of Bispecific Antibody MCLA-158 in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT03526835,2. RAS + Colon,RECRUITING
NCT03539822,Cabozantinib Plus Durvalumab with or Without Tremelimumab in Patients with Gastroesophageal Cancer and Other Gastrointestinal Malignancies,https://clinicaltrials.gov/study/NCT03539822,2. RAS + Colon,RECRUITING
NCT03608631,iExosomes in Treating Participants With Metastatic Pancreas Cancer With KrasG12D Mutation,https://clinicaltrials.gov/study/NCT03608631,2. G12D general,RECRUITING
NCT03714490,MRI Simulation-guided Boost in Short-course Preoperative Radiotherapy for Unresectable Rectal Cancer,https://clinicaltrials.gov/study/NCT03714490,2. RAS + Colon,RECRUITING
NCT03819803,Fecal Microbiota Transplantation in aGvHD After ASCT,https://clinicaltrials.gov/study/NCT03819803,2. RAS + Colon,RECRUITING
NCT03874026,Study of Folfiri/Cetuximab in FcGammaRIIIa V/V Stage IV Colorectal Cancer Patients,https://clinicaltrials.gov/study/NCT03874026,2. RAS + Colon,RECRUITING
NCT03919292,"Neratinib + Valproate in Advanced Solid Tumors, w/Expansion Cohort in Ras-Mutated Ca",https://clinicaltrials.gov/study/NCT03919292,2. RAS + Colon,RECRUITING
NCT03923335,The Predictive Value of Guangzhou Panel for Recurrence in Early-stage Colorectal Cancer,https://clinicaltrials.gov/study/NCT03923335,2. RAS + Colon,NOT_YET_RECRUITING
NCT04008797,A Study of E7386 in Combination With Other Anticancer Drug(s) in Participants With Solid Tumor,https://clinicaltrials.gov/study/NCT04008797,2. RAS + Colon,RECRUITING
NCT04025541,Analysis of Circulating Tumor Markers in Blood,https://clinicaltrials.gov/study/NCT04025541,2. RAS + Colon,RECRUITING
NCT04034173,Optimal Anti-EGFR Treatment of mCRC Patients With Low-Frequency RAS Mutation,https://clinicaltrials.gov/study/NCT04034173,2. RAS + Colon,NOT_YET_RECRUITING
NCT04050345,Tracking Mutations in Cell Free Tumour DNA to Predict Relapse in Early Colorectal Cancer,https://clinicaltrials.gov/study/NCT04050345,2. RAS + Colon,RECRUITING
NCT04204837,Nivolumab for Treatment of Squamous Cell Carcinoma of the Skin,https://clinicaltrials.gov/study/NCT04204837,2. RAS + Colon,RECRUITING
NCT04235114,Evaluation of 89Zr-DFO-nimotuzumab for Non-invasive Imaging of EGFR+ Cancers by Positron Emission Tomography (PET),https://clinicaltrials.gov/study/NCT04235114,2. RAS + Colon,RECRUITING
NCT04485013,TTX-080 HLA-G Antagonist in Subjects With Advanced Cancers,https://clinicaltrials.gov/study/NCT04485013,2. RAS + Colon,RECRUITING
NCT04511039,Trifluridine/Tipiracil and Talazoparib for the Treatment of Patients With Locally Advanced or Metastatic Colorectal or Gastroesophageal Cancer,https://clinicaltrials.gov/study/NCT04511039,2. RAS + Colon,RECRUITING
NCT04585750,The Evaluation of PC14586 in Patients With Advanced Solid Tumors Harboring a TP53 Y220C Mutation (PYNNACLE),https://clinicaltrials.gov/study/NCT04585750,2. RAS + Colon,RECRUITING
NCT04678583,Anatomical Resection of Liver MetAstases iN patIents With RAS-mutated Colorectal Cancer,https://clinicaltrials.gov/study/NCT04678583,2. RAS + Colon,RECRUITING
NCT04678648,A Trial of RSC-1255 for Treatment of Patients With Advanced Malignancies,https://clinicaltrials.gov/study/NCT04678648,2. RAS + Colon,RECRUITING
NCT04687631,Conversion Therapy of RAS/BRAF Wild-Type Colorectal Cancer Patients With Initially Unresectable Liver Metastases,https://clinicaltrials.gov/study/NCT04687631,2. RAS + Colon,RECRUITING
NCT04704661,"Testing the Combination of Two Anti-cancer Drugs, DS-8201a and AZD6738, for The Treatment of Advanced Solid Tumors Expressing the HER2 Protein or Gene, The DASH Trial",https://clinicaltrials.gov/study/NCT04704661,2. RAS + Colon,RECRUITING
NCT04776655,Study in mCRC Patients RAS/BRAF wt Tissue and RAS Mutated LIquid BIopsy to Compare FOLFIRI Plus CetuxiMAb or BevacizumaB,https://clinicaltrials.gov/study/NCT04776655,2. RAS + Colon,RECRUITING
NCT04781270,mFOLFOXIRI+Bev vs. mFOLFOX6+Bev for RAS Mutant Unresectable Colorectal Liver-limited Metastases,https://clinicaltrials.gov/study/NCT04781270,2. RAS + Colon,RECRUITING
NCT04831528,"Decision-making of ctDNA in Patients With mCRC After Failure of First-line Treatment Containing Cetuximab - a Single-center, Phase II Clinical Study",https://clinicaltrials.gov/study/NCT04831528,2. RAS + Colon,NOT_YET_RECRUITING
NCT04832776,FOLFOXIRI Plus Cetuximab Versus FOLFOXIRI Plus Bevacizumab in Conversion Therapy of Right-sided Colon Cancer Liver Metastases,https://clinicaltrials.gov/study/NCT04832776,2. RAS + Colon,RECRUITING
NCT04854213,PRELUDE-1 (Prospective Evaluation of Radiotherapy-induced Biologic Effects in Colorectal Cancer Oligometastatic Patients with LUng-limited Disease: Evolution of Cancer Genetics and Regulatory Immune Cells),https://clinicaltrials.gov/study/NCT04854213,2. RAS + Colon,RECRUITING
NCT04888936,"Clinical, Genetic, and Epidemiologic Study of Children and Adults With RASopathies",https://clinicaltrials.gov/study/NCT04888936,2. RAS + Colon,RECRUITING
NCT04923620,Neoadjuvant Cetuximab + Chemotherapy Combined With Short-course Radiotherapy,https://clinicaltrials.gov/study/NCT04923620,2. RAS + Colon,RECRUITING
NCT04929223,A Study Evaluating the Safety and Efficacy of Targeted Therapies in Subpopulations of Patients With Metastatic Colorectal Cancer (INTRINSIC),https://clinicaltrials.gov/study/NCT04929223,2. RAS + Colon,RECRUITING
NCT04938986,Interest of the Immunoscore® as a Post-operative Complementary Tool for the Detection of the Risk of Recurrence in Patients With Nonmetastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT04938986,2. RAS + Colon,RECRUITING
NCT04956640,Study of LY3537982 in Cancer Patients With a Specific Genetic Mutation (KRAS G12C),https://clinicaltrials.gov/study/NCT04956640,2. RAS + Colon,RECRUITING
NCT04976153,Skeletal Muscle-derived Cell Implantation for Treatment of Fecal Incontinence,https://clinicaltrials.gov/study/NCT04976153,2. RAS + Colon,RECRUITING
NCT04999761,AB122 Platform Study,https://clinicaltrials.gov/study/NCT04999761,2. RAS + Colon,RECRUITING
NCT05007132,Trifluridine/ Tipiracil Plus Panitumumab Versus Trifluridine/ Tipiracil Plus Bevacizumab as First-line Treatment of Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05007132,2. RAS + Colon,RECRUITING
NCT05013216,Mutant KRAS -Targeted Long Peptide Vaccine for Patients at High Risk of Developing Pancreatic Cancer,https://clinicaltrials.gov/study/NCT05013216,2. RAS + Colon,RECRUITING
NCT05022030,First-line mCapOX+Cetuximab vs. mFOLFOX6+Cetuximab for Metastatic Left-sided CRC With Wild-type RAS/BRAF Genes,https://clinicaltrials.gov/study/NCT05022030,2. RAS + Colon,RECRUITING
NCT05062889,Exploiting Circulating Tumour DNA to Intensify the Postoperative Treatment Resected Colon Cancer Patients,https://clinicaltrials.gov/study/NCT05062889,2. RAS + Colon,RECRUITING
NCT05067283,A Study of MK-1084 in KRAS Mutant Advanced Solid Tumors (MK-1084-001),https://clinicaltrials.gov/study/NCT05067283,2. RAS + Colon,RECRUITING
NCT05101070,S-531011 as Monotherapy and in Combination With an Immune Checkpoint Inhibitor in Advanced or Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT05101070,2. RAS + Colon,RECRUITING
NCT05107674,A Study of NX-1607 in Adults With Advanced Malignancies,https://clinicaltrials.gov/study/NCT05107674,2. RAS + Colon,RECRUITING
NCT05111860,Neoadjuvant Bevacizumab + Chemotherapy Combined With Short-course Radiotherapy,https://clinicaltrials.gov/study/NCT05111860,2. RAS + Colon,RECRUITING
NCT05118854,A Phase II Study of Neoadjuvant Sotorasib in Combination With Cisplatin or Carboplatin and Pemetrexed for Surgically Resectable Stage IIA-IIIB Non-Squamous Non-Small Cell Lung Cancer With a KRAS p.G12C Mutation,https://clinicaltrials.gov/study/NCT05118854,2. RAS + Colon,RECRUITING
NCT05171075,A Study Comparing Abelacimab to Dalteparin in the Treatment of Gastrointestinal/Genitourinary Cancer and Associated VTE,https://clinicaltrials.gov/study/NCT05171075,2. RAS + Colon,RECRUITING
NCT05171660,Combination With Sintilimab and XELOX+Bevacizumab as 1st Line Therapy in RAS-mutant Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05171660,2. RAS + Colon,RECRUITING
NCT05176665,EMB-01 in Patients With Advanced/Metastatic Gastrointestinal Cancers,https://clinicaltrials.gov/study/NCT05176665,2. RAS + Colon,RECRUITING
NCT05186116,LDLT in Non Resectable Colo-rectal Cancer Liver Metastasis,https://clinicaltrials.gov/study/NCT05186116,2. RAS + Colon,RECRUITING
NCT05200442,A Study of VS-6766 and Cetuximab in Patients With Advanced Colorectal Cancer,https://clinicaltrials.gov/study/NCT05200442,2. RAS + Colon,RECRUITING
NCT05229003,Irinotecan Plus Anlotinib or Further in Combination With Penpulimab for Second-line Treatment of mCRC,https://clinicaltrials.gov/study/NCT05229003,2. RAS + Colon,RECRUITING
NCT05239650,Phase II Clinical Study to Evaluate the Efficacy and Safety of HLX07+HLX10 +mFOLFOX6 or HLX07 Monotherapy in Patients With mCRC,https://clinicaltrials.gov/study/NCT05239650,2. RAS + Colon,NOT_YET_RECRUITING
NCT05239741,Study of Pembrolizumab (MK-3475) Versus Chemotherapy in Chinese Participants With Stage IV Colorectal Cancer (MK-3475-C66),https://clinicaltrials.gov/study/NCT05239741,2. RAS + Colon,RECRUITING
NCT05253651,A Study of Tucatinib With Trastuzumab and mFOLFOX6 Versus Standard of Care Treatment in First-line HER2+ Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05253651,2. RAS + Colon,RECRUITING
NCT05288205,Phase 1/2a Study of JAB-21822 Plus JAB-3312 in Patients With Advanced Solid Tumors Harboring KRAS p.G12C Mutation,https://clinicaltrials.gov/study/NCT05288205,2. RAS + Colon,RECRUITING
NCT05291156,CAVE-2 GOIM Study: a Clinical Study of the Combination of Avelumab Plus Cetuximab as Rechallenge Strategy,https://clinicaltrials.gov/study/NCT05291156,2. RAS + Colon,RECRUITING
NCT05299840,Impact of Using the Oncogramme® Device to Select the First Line of Treatment for Patients With Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05299840,2. RAS + Colon,RECRUITING
NCT05310643,Nivolumab and Ipilimumab in Anti-PD1-Resistant dMMR/MSI mCRC,https://clinicaltrials.gov/study/NCT05310643,2. RAS + Colon,RECRUITING
NCT05354674,Multimodal Deep Learning Signature for Evaluation of Response to Bevacizumab in Patient With Colorectal Cancer Liver Metastasis,https://clinicaltrials.gov/study/NCT05354674,2. RAS + Colon,NOT_YET_RECRUITING
NCT05359393,A Combination Therapy Including Anti-PD-1 Immunotherapy in MSS Rectal Cancer With Resectable Distal Metastasis,https://clinicaltrials.gov/study/NCT05359393,2. RAS + Colon,NOT_YET_RECRUITING
NCT05379595,A Study of Amivantamab Monotherapy and in Addition to Standard-of-Care Chemotherapy in Participants With Advanced or Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05379595,2. RAS + Colon,RECRUITING
NCT05451056,"An Open-label, Phase 2trial of Sotorasib in KRAS G12C-mutant Non-small-cell Lung Cancer(NSCLC) Patients and a Translational Study to Find Acquired Resistance Mechanism to Sotorasib",https://clinicaltrials.gov/study/NCT05451056,2. RAS + Colon,NOT_YET_RECRUITING
NCT05462613,Regorafenib With Low-dose Chemotherapies and Aspirin Followed by Standard Chemotherapies in Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05462613,2. RAS + Colon,RECRUITING
NCT05522738,Safety and Efficacy of Fruquintinib+FOLFIRI in RAS-mutated Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05522738,2. RAS + Colon,RECRUITING
NCT05592626,"A Study of a Selective T Cell Receptor (TCR) Targeting, Bifunctional Antibody-fusion Molecule STAR0602 in Participants With Advanced Solid Tumors",https://clinicaltrials.gov/study/NCT05592626,2. RAS + Colon,RECRUITING
NCT05631041,Effect of Silymarin in Metastatic Colorectal Cancer Patients,https://clinicaltrials.gov/study/NCT05631041,2. RAS + Colon,RECRUITING
NCT05634590,The Efficacy and Safety of Fruquintinib Plus FOLFIRI/FOLFOX as Second-line Treatment in Patients With RAS-mutant Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05634590,2. RAS + Colon,NOT_YET_RECRUITING
NCT05638295,Testing the Use of AMG 510 (Sotorasib) and Panitumumab as a Targeted Treatment for KRAS G12C Mutant Solid Tumor Cancers (A ComboMATCH Treatment Trial),https://clinicaltrials.gov/study/NCT05638295,2. RAS + Colon,RECRUITING
NCT05640726,The First-line Treatment of RCLM With RAS Mutation Was Local Short-course Radiotherapy (SCRT) + PD-1+ Standard Therapy,https://clinicaltrials.gov/study/NCT05640726,2. RAS + Colon,NOT_YET_RECRUITING
NCT05651022,Study of DECOY20 With or Without Tislelizumab in Patients With Advanced Solid Tumors,https://clinicaltrials.gov/study/NCT05651022,2. RAS + Colon,RECRUITING
NCT05672524,A Study of Tucatinib and Trastuzumab in People With Rectal Cancer,https://clinicaltrials.gov/study/NCT05672524,2. RAS + Colon,RECRUITING
NCT05673512,To Evaluate IAH0968 in Combination With CAPEOX in HER2-positive Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05673512,2. RAS + Colon,RECRUITING
NCT05694936,Combining Sodium Valproate With Standard-of-care EGFR (Epidermal Growth Factor Receptor) Monoclonal Antibody Treatment in Patients With Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05694936,2. RAS + Colon,RECRUITING
NCT05706779,Encorafenib Plus Cetuximab in a Neoadjuvant Setting in Patients With BRAF Mutation Localised Colon or Upper Rectum Cancer,https://clinicaltrials.gov/study/NCT05706779,2. RAS + Colon,RECRUITING
NCT05725200,Study to Investigate Outcome of Individualized Treatment in Patients With Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05725200,2. RAS + Colon,RECRUITING
NCT05727163,FOLFOX Via HAI Plus Intravenous Irinotecan With or Without Bevacizumab Versus Systemic FOLFOXIRI With or Without Bevacizumab in Initially Unresectable RAS-mutated CRLM Patients,https://clinicaltrials.gov/study/NCT05727163,2. RAS + Colon,RECRUITING
NCT05742425,Serplulimab Combined With FOLFIRI and Bevacizumab in the Treatment of Colon Cancer Peritoneal Metastases,https://clinicaltrials.gov/study/NCT05742425,2. RAS + Colon,RECRUITING
NCT05759728,"A Study of CNA3103 (LGR5-targeted, Autologous CAR-T Cells) Administered to Subjects With Metastatic Colorectal Cancer",https://clinicaltrials.gov/study/NCT05759728,2. RAS + Colon,RECRUITING
NCT05771181,Vitamin E Combined With Fruquintinib and Tislelizumab in Microsatellite Stabilized Metastatic Colorectal Cancer Patients,https://clinicaltrials.gov/study/NCT05771181,2. RAS + Colon,RECRUITING
NCT05806931,Sequential TAS-OX Alternating With TAS-IRI Plus Bevacizumab for Late-Line Metastatic Colorectal Cancer,https://clinicaltrials.gov/study/NCT05806931,2. RAS + Colon,RECRUITING
NCT05845450,Pre-operative Targeted Treatments in Molecularly Selected Resectable Colorectal Cancer (UNICORN),https://clinicaltrials.gov/study/NCT05845450,2. RAS + Colon,RECRUITING
NCT05848739,A Phase 1-2 of ST316 With Selected Advanced Unresectable and Metastatic Solid Tumors,https://clinicaltrials.gov/study/NCT05848739,2. RAS + Colon,RECRUITING
NCT05876806,Dabrafenib Plus Trametinib in Patients With Advanced Solid Tumor Having BRAF V600E Mutation or Clinically Actionable BRAF Gene Alterations,https://clinicaltrials.gov/study/NCT05876806,2. RAS + Colon,RECRUITING
NCT05881746,Anatomical Resection VS. Nonanatomical Resection for Colorectal Liver Metastases With Gene Mutation or Right-sidedness,https://clinicaltrials.gov/study/NCT05881746,2. RAS + Colon,NOT_YET_RECRUITING
NCT05928312,Fruquintinib Combined With Chemotherapy as Third-line /Third-line+ Treatment in Advanced Colorectal Cancer,https://clinicaltrials.gov/study/NCT05928312,2. RAS + Colon,NOT_YET_RECRUITING
NCT05933980,"Toripalimab,Celecoxib and Regorafenib in the Treatment of Refractory Advanced Colorectal Cancer",https://clinicaltrials.gov/study/NCT05933980,2. RAS + Colon,RECRUITING
